Бруно держится за живот, а друзья весело смотрят на него.|||Bruno holds his tummy while his friends react with warm amusement.|||Bruno se toca la barriga mientras sus amigos ríen con cariño.
Пятеро учеников едят яблоки за низким столом; перед ними пять чашек.|||Five pupils eat apple wedges at the low table with exactly five cups.|||Cinco alumnos comen trozos de manzana en la mesa baja con cinco vasos.
Лулу возвращает пятую чашку на поднос, а Пин-Пин ставит туда миску.|||Lulu returns the fifth cup to the tray while PinPin adds the bowl.|||Lulu devuelve el quinto vaso a la bandeja mientras PinPin coloca el cuenco.
Сова показывает шишку и детали: два бруска, кусок коры и чашку.|||The owl presents the cone and loose kit: two blocks, one bark slab and a cup.|||La maestra presenta la piña y las piezas: dos bloques, una corteza y un vaso.
Лулу и Туту ставят бруски слишком далеко друг от друга; крыша лежит перед ними.|||Lulu and Tutu set the blocks too far apart, with the roof lying in front.|||Lulu y Tutu separan demasiado los bloques; el techo está delante.
Крыша лежит на столе между брусками; Пин-Пин поднял лапки после падения.|||The roof lies between the blocks after slipping down; PinPin lifts his paws clear.|||El techo ha caído entre los bloques; PinPin aparta las patitas.
Мила показывает на слишком широкий промежуток, а Пин-Пин смотрит туда же.|||Mila points at the overly wide gap while PinPin follows her gesture.|||Mila señala el hueco demasiado ancho y PinPin sigue su gesto.
Лулу и Туту сдвигают бруски ближе; крыша пока лежит на столе.|||Lulu and Tutu bring the supports closer while the roof waits on the table.|||Lulu y Tutu acercan los bloques mientras el techo sigue sobre la mesa.
Друзья держат бруски, а Пин-Пин готовит кусок коры для крыши.|||The friends brace the blocks while PinPin holds the bark slab ready.|||Los amigos sujetan los bloques mientras PinPin prepara la corteza.
Пин-Пин опускает крышу на оба бруска; Лулу и Туту держат опоры.|||PinPin places the roof on both supports as Lulu and Tutu hold them steady.|||PinPin coloca el techo sobre ambos bloques mientras Lulu y Tutu los sujetan.
Мила, стоя на низкой ступеньке, подносит шишку на листе к крыше.|||Standing on the low step, Mila brings the cone on its leaf toward the shelter.|||Desde el escalón bajo, Mila acerca la piña sobre su hoja al refugio.
Бруно льёт немного воды на крышу; шишка стоит под ней на листе.|||Bruno pours a little water onto the roof while the cone rests underneath on its leaf.|||Bruno vierte un poco de agua sobre el techo; la piña queda debajo sobre su hoja.
Пин-Пин заглядывает под мокрую крышу на сухую шишку.|||PinPin peers beneath the wet roof at the dry pinecone.|||PinPin mira bajo el techo mojado para ver la piña seca.
Пятеро друзей и Сова радуются готовой крыше и сухой шишке.|||Five friends and the owl enjoy the finished shelter and its dry pinecone.|||Los cinco amigos y la maestra celebran el refugio terminado y la piña seca.
Пятеро друзей идут к пустым местам между корнями; модель остаётся на столе.|||Five friends walk toward the empty root seats; the model stays on the table.|||Cinco amigos caminan hacia los huecos abiertos entre las raíces; la maqueta queda en la mesa.
Лулу собирает ромашки у дуба, рядом отдыхают четверо друзей.|||Lulu gathers daisies beside the oak while her four friends rest nearby.|||Lulu recoge margaritas junto al roble mientras sus cuatro amigos descansan cerca.
Лулу переплетает стебли короткой цепочки ромашек.|||Lulu weaves the stems of a short daisy chain.|||Lulu entrelaza los tallos de una cadena corta de margaritas.
Лулу держит маленькое замкнутое кольцо из ромашек.|||Lulu holds the small completed daisy ring.|||Lulu sostiene el pequeño círculo de margaritas terminado.
Лулу носит венок между ушами; Пин-Пин и Туту улыбаются ей.|||Lulu wears the crown between her ears while PinPin and Tutu smile at her.|||Lulu lleva la corona entre las orejas; PinPin y Tutu le sonríen.
Пятеро друзей спокойно сидят у корней; Лулу в венке смотрит на Пин-Пина.|||Five friends rest by the roots; crowned Lulu and PinPin exchange a warm look.|||Cinco amigos descansan entre las raíces; Lulu con su corona y PinPin se miran con cariño.
Пятеро родителей подходят к детям у дуба; Мама несёт малыша.|||Five parents approach the pupils by the oak, with Mama carrying the baby.|||Cinco padres y madres se acercan a los niños junto al roble; Mamá lleva al bebé.
Мама с малышом приветствует маму Лулу среди пяти семей.|||Mama, holding the baby, greets Lulu’s mother among the five families.|||Mamá sostiene al bebé y saluda a la madre de Lulu entre las cinco familias.
Пин-Пин показывает Маме и малышу в сторону школьного стола.|||PinPin points toward the school table for Mama and the baby.|||PinPin señala la mesa de la escuela para Mamá y el bebé.
Мама Лулу наклоняется к дочке и рассматривает венок.|||Lulu’s mother bends toward her daughter and admires the crown.|||La madre de Lulu se inclina hacia su hija y admira la corona.
Туту рассказывает папе-белке о школьной крыше.|||Tutu tells her squirrel father about the roof they built.|||Tutu cuenta a su padre ardilla cómo construyeron el techo.
Мила встречается с папой-мышью, а Бруно — с мамой-барсуком.|||Mila meets her mouse father while Bruno meets his badger mother.|||Mila se reúne con su padre ratón y Bruno con su madre tejona.
Пять семей и Сова рассматривают крышу с сухой шишкой на школьном столе.|||Five families and the owl gather around the shelter and dry cone on the school table.|||Cinco familias y la maestra rodean el refugio y la piña seca sobre la mesa.
Пять семей прощаются с Совой у края школьной полянки.|||Five families say goodbye to the owl at the edge of the school clearing.|||Cinco familias se despiden de la maestra al salir del claro de la escuela.
Пять семей идут вместе по солнечной дорожке у луга; Мама несёт Пом-Пома.|||Five families walk together along the sunny meadow path; Mama carries PomPom.|||Cinco familias caminan juntas por el sendero soleado junto al prado; Mamá lleva a PomPom.
